from_user,user_followers_count,user_friends_count
ambergoulty_xxx,79,105
AmberJohal,26,187
amberrdianaa,982,751
amberstudentcom,,
AmberxWoods,20,266
AmbientSheep,23,55
ambs_champion,153,479
AMC__88,1770,1001
Amelia_B_Gates,,
Ameliagrace2001,10,20
ameliarobinson0,498,392
AmeliaWintter,317,304
ameliechloe03,43,552
ameranwar,2606,2591
AMeskell,1304,3506
amevans15,307,454
ameyas_,,
AMeynert,159,174
amibengalibeh,899,547
Amicusc54803237,4219,3843
AMidsummerNight,3000,1096
amiemariamarie,306,682
amifazed,223,182
Amily8A,108,204
amin54854612,25,55
aminahmomar,37,77
aminnnaaaa,560,291
Aminwitdahoodie,249,299
amjsutherland,1401,1356
amkolesnik,166,295
AMlCKS,,
AMLiberale,272,1350
ammaarrahim,257,221
AmmarRashid85,178,162
AmnaHasan25,57,419
amnotreallyhere,75,750
amonrobinson,98,384
amor_vuelveTX,20823,6838
AmosDuveen,469,1141
amotorhomme,486,955
amouruu,746,335
amozoomdar,691,855
Amritkaurrrr,80,73
amxnayousaf,42,45
amy_loughton,569,757
amy1975jakes,29,324
Amy54709446,,
amybotwright,215,226
AmyCantelo,,
amychadwick_x,82,848
amychmbln,,
amycochraneee,623,1274
amyjahudson,599,401
amyjuliaoconnor,161,327
amylangdown_,215,418
amylgibbs,369,125
amylgillett,242,367
AmyLouuSmith,152,478
AmyLovesCats,270,520
AmyLShakespeare,763,1102
amyludlam8,275,216
AmyMccann16,1139,456
amymemory123,115,119
amynbower,134,243
amysings9,,
AmySmit99170086,17,122
AmySpaniel13,669,2198
amytownsend28,156,422
amyyrees,42,63
ana_captures,1833,2465
anabl18,208,116
Anal_Crong_,151,183
AnalogueAndy,1773,3401
AnaLope09283241,16,121
analysingyou,110,191
analysisguy0502,990,918
anandshukla200,937,825
ananonymousone,5657,2408
ananthranjit1,98,244
anarchon1701D,926,1977
anarchoplants,325,565
Anarchy_Ali,975,5000
Anaskind2003,202,441
anastasia_who,100,748
AnastasiaTapsf1,125,336
AnatomyCourses,257,224
AnatomyHow,,
anayx_g,1672,421
anbusch,,
AncientGleek,1775,3833
ancienthiker,256,354
ancientlamont,361,1198
ancillb,452,1691
andekhaziqah,75,70
Andernal,155,213
AndewAtkinson,1210,149
Andi_Downes,121,152
AndIlkley,64,76
Ando1962,24,182
AndraSneddon,4,14
AndreaAndreamax,647,1005
AndreaCampbel14,88,314
Andreacurran15,533,1092
andreaheywood11,1697,637
andreasbusen,185,263
AndrePierre__,2028,3380
andrew_cowley23,8372,5825
andrew_madaras,184,762
andrew_raeburn,2284,4078
andrew_rawling,3606,3674
Andrew_Steward9,132,222
andrew_tulloch,374,717
andrew23baldwin,204,497
Andrew9Boswell,3068,900
andrewbalmer,90,575
andrewcampbellc,62,259
AndrewdataHE,,
AndrewDMorrish,,
andrewdornoch,197,533
andrewfolker,203,117
AndrewHaywood1,557,1424
AndrewHuyton,249,617
andrewjburgin,2807,1149
AndrewJHammond,2485,1341
andrewjlockley,1846,3468
andrewmdonald,38,118
andrewpattondev,458,167
AndrewRichardG5,796,1041
andrewstephen5,2608,4999
AndrewT25009796,7,59
AndrewW66619812,1980,2714
Andrewwhitton2,2107,5000
andrewwhitty,419,2282
andthenex,42,220
andy_n2000,3195,4995
Andy_Suth_UK,4834,4990
Andy_Symmons95,379,762
Andy_Webster_PV,380,648
andyash39,685,1763
AndyBays,248,877
AndyBurnhamGM,272292,2281
ANDYC2311,2394,4990
andycarmich,1892,801
andyedwardsbiz,1548,1050
andyfalconer,,
AndyHayes100,433,434
AndyHeathman,382,712
andyhelson,429,613
AndyHornby,394,765
AndyHull78,,
andyhy88,263,1391
AndyJac1994,218,668
andyjames888,23,38
andyjey,1275,1310
AndyLewis_RE,5775,2058
AndyMountford3,432,781
AndyNigel,1584,644
AndyPeacock999,3829,2735
andypearsall,1231,2659
AndyRatcliffe13,45,85
andyroodaddyo,432,1060
AndySavory,139,265
AndyTuohyDesign,807,805
andywartrol,1017,776
anebarnane,1480,2175
aneelasaleem15,550,1499
Anessa59081785,52,208
Anfieldexile,,
AngeD_,49,1365
Angel_x_x_,182,376
Angela_Monaghan,801,872
angela44610707,71,135
angelabounds131,368,1563
AngelaELL,1913,503
angelaellensan1,3,24
AngelaHagan0,,
AngelaHagan1,229,183
angelaigbinovia,44,34
AngelaM03781953,101,55
angelamavalla,2625,874
angelexiegrey,3519,271
Angelfoxdreamer,242,72
angie_cx_x,,
Angie_RejoinEU,25727,26868
Angie_RP7,198,277
angie_shatford,429,1586
angie00000,61,230
angiebabie2009,990,1328
AngieMcMullan,25,510
AngieMoxham,1061,180
angieprysorjon1,215,464
anglichanka0,7,170
AngloOtaku,,
angolanafofa,1077,344
AngreziK,38,196
angryaboutbikes,2769,746
angrydachshund,,
AngryOfHagley,60,52
Angryreddog,196,664
AngSpencerM,816,1394
AngusHebenton,679,975
AngusJWilkinson,967,620
AngusRobertson,,
anildos1,151,561
AniLyds,158,334
AnimousUK,15616,14302
anirudhbala99,91,220
anisa__akthar,25,17
AnisaPatel06,36,136
Anisha_b_,59,129
AnishaaKissoonx,334,391
anissadurajczyk,56,47
anissssaaaa_,305,186
anita_hoener,2008,3800
AnitaBa50700688,370,273
anitagua14,67,71
Anitajelan,13,68
AnitaMannion,1316,2786
